Cidade;Campus;Ano;Mês;Quantidade em kWh
Ituiutaba;Pontal;2023;Janeiro;52150
Ituiutaba;Pontal;2023;Fevereiro;44800
Ituiutaba;Pontal;2023;Março;62300
Ituiutaba;Pontal;2023;Abril;56000
Ituiutaba;Pontal;2023;Maio;54250
Ituiutaba;Pontal;2023;Junho;42350
Ituiutaba;Pontal;2023;Julho;40250
Ituiutaba;Pontal;2023;Agosto;57400
Ituiutaba;Pontal;2023;Setembro;70700
Ituiutaba;Pontal;2023;Outubro;81900
Ituiutaba;Pontal;2023;Novembro;67200
Ituiutaba;Pontal;2023;Dezembro;52500
Monte Carmelo;Araras;2023;Janeiro;38080
Monte Carmelo;Araras;2023;Fevereiro;29540
Monte Carmelo;Araras;2023;Março;43400
Monte Carmelo;Araras;2023;Abril;39200
Monte Carmelo;Araras;2023;Maio;41440
Monte Carmelo;Araras;2023;Junho;37660
Monte Carmelo;Araras;2023;Julho;30940
Monte Carmelo;Araras;2023;Agosto;44520
Monte Carmelo;Araras;2023;Setembro;52780
Monte Carmelo;Araras;2023;Outubro;52360
Monte Carmelo;Araras;2023;Novembro;52360
Monte Carmelo;Araras;2023;Dezembro;35280
Uberlândia;Educaço Física;2023;Janeiro;40320
Uberlândia;Educaço Física;2023;Fevereiro;37380
Uberlândia;Educaço Física;2023;Março;48090
Uberlândia;Educaço Física;2023;Abril;43680
Uberlândia;Educaço Física;2023;Maio;46620
Uberlândia;Educaço Física;2023;Junho;45150
Uberlândia;Educaço Física;2023;Julho;41370
Uberlândia;Educaço Física;2023;Agosto;45360
Uberlândia;Educaço Física;2023;Setembro;49350
Uberlândia;Educaço Física;2023;Outubro;45150
Uberlândia;Educaço Física;2023;Novembro;43050
Uberlândia;Educaço Física;2023;Dezembro;35910
Uberlândia;Fazendas;2023;Janeiro;55895
Uberlândia;Fazendas;2023;Fevereiro;36467
Uberlândia;Fazendas;2023;Março;56197
Uberlândia;Fazendas;2023;Abril;47156
Uberlândia;Fazendas;2023;Maio;53549
Uberlândia;Fazendas;2023;Junho;54428
Uberlândia;Fazendas;2023;Julho;49455
Uberlândia;Fazendas;2023;Agosto;69239
Uberlândia;Fazendas;2023;Setembro;55292
Uberlândia;Fazendas;2023;Outubro;53313
Uberlândia;Fazendas;2023;Novembro;64419
Uberlândia;Fazendas;2023;Dezembro;55079
Uberlândia;Glória;2023;Janeiro;31850
Uberlândia;Glória;2023;Fevereiro;23800
Uberlândia;Glória;2023;Março;35000
Uberlândia;Glória;2023;Abril;30450
Uberlândia;Glória;2023;Maio;33600
Uberlândia;Glória;2023;Junho;31500
Uberlândia;Glória;2023;Julho;25200
Uberlândia;Glória;2023;Agosto;35700
Uberlândia;Glória;2023;Setembro;38150
Uberlândia;Glória;2023;Outubro;43050
Uberlândia;Glória;2023;Novembro;37800
Uberlândia;Glória;2023;Dezembro;26950
Uberlândia;Santa Mônica;2023;Janeiro;372400
Uberlândia;Santa Mônica;2023;Fevereiro;330400
Uberlândia;Santa Mônica;2023;Março;369600
Uberlândia;Santa Mônica;2023;Abril;424200
Uberlândia;Santa Mônica;2023;Maio;413000
Uberlândia;Santa Mônica;2023;Junho;319200
Uberlândia;Santa Mônica;2023;Julho;295400
Uberlândia;Santa Mônica;2023;Agosto;393400
Uberlândia;Santa Mônica;2023;Setembro;477400
Uberlândia;Santa Mônica;2023;Outubro;518000
Uberlândia;Santa Mônica;2023;Novembro;484400
Uberlândia;Santa Mônica;2023;Dezembro;357000
Uberlândia;Umuarama;2023;Janeiro;220500
Uberlândia;Umuarama;2023;Fevereiro;208180
Uberlândia;Umuarama;2023;Março;279160
Uberlândia;Umuarama;2023;Abril;228760
Uberlândia;Umuarama;2023;Maio;240940
Uberlândia;Umuarama;2023;Junho;501600
Uberlândia;Umuarama;2023;Julho;200200
Uberlândia;Umuarama;2023;Agosto;249480
Uberlândia;Umuarama;2023;Setembro;299040
Uberlândia;Umuarama;2023;Outubro;248500
Uberlândia;Umuarama;2023;Novembro;359800
Uberlândia;Umuarama;2023;Dezembro;250040
